warrant; 5;
conception; 1;
body; 16;
shardes; 1;
enough; 6;
daysies; 1;
clowne; 3;
striking; 1;
grasse; 1;
blacke; 8;
orbe; 1;
sixteene; 1;
light; 8;
key; 1;
tenants; 1;
assaile; 1;
vnseale; 1;
eager; 1;
scoenes; 1;
encombred; 1;
polonius; 20;
bastard; 1;
scourge; 2;
weares; 1;
vnlimited; 1;
better; 14;
against; 20;
containing; 1;
strewments; 1;
wall; 1;
coarse; 3;
suffred; 1;
seald; 4;
hoodmanblinde; 1;
saying; 1;
ser; 1;
vice; 3;
set; 22;
wildely; 2;
seale; 2;
whipping; 1;
carrying; 1;
wisedome; 5;
wake; 2;
staires; 1;
aworke; 1;
roaming; 1;
ophelia; 28;
chronicles; 1;
slaughter; 1;
solemne; 2;
touches; 1;
audit; 1;
sea; 5;
throne; 2;
yoricks; 1;
see; 45;
wedding; 1;
fennell; 1;
enurnd; 1;
laying; 2;
beasts; 2;
lions; 1;
they; 88;
fell; 8;
snatches; 1;
pardont; 1;
nine; 2;
winde; 11;
actor; 3;
stealing; 1;
birds; 1;
vngracious; 1;
tellus; 1;
pardond; 2;
winch; 1;
wheres; 3;
buyer; 1;
starres; 3;
embrace; 2;
passeth; 1;
plautus; 1;
thunders; 1;
worth; 1;
branches; 1;
extreamity; 1;
buyes; 1;
lesson; 1;
indiscretion; 1;
hearsed; 1;
church; 2;
windy; 1;
vulcans; 1;
vnshaken; 1;
summons; 1;
steps; 1;
combatted; 1;
demynaturd; 1;
enuiously; 1;
abuses; 1;
skill; 3;
them; 67;
then; 108;
bringing; 1;
murderer; 2;
erring; 1;
records; 1;
winds; 1;
thee; 58;
followes; 4;
esile; 1;
pictures; 1;
mantle; 1;
qualifies; 1;
hammes; 1;
followed; 2;
compelled; 1;
greekes; 1;
iuggeld; 1;
countenance; 5;
birch; 1;
clowds; 1;
attends; 1;
larger; 1;
barre; 1;
admittance; 1;
barrd; 1;
freefooted; 1;
videlicet; 1;
tugging; 1;
abridgements; 1;
forthwith; 1;
within; 19;
imitated; 1;
looke; 31;
lookd; 2;
cause; 13;
second; 10;
eies; 1;
thicke; 3;
study; 1;
middle; 2;
vnforcd; 1;
wager; 6;
lookt; 2;
supposall; 1;
apparell; 1;
wings; 2;
gather; 3;
necke; 2;
sets; 1;
sence; 3;
faults; 3;
barefoot; 1;
cheere; 2;
such; 52;
choyse; 1;
inhibition; 1;
doubt; 10;
crosse; 1;
puppets; 1;
dally; 1;
offends; 1;
mother; 40;
geulles; 1;
treacherie; 2;
seagowne; 1;
debatement; 1;
thin; 1;
shepheards; 1;
combate; 1;
this; 275;
soyle; 1;
mining; 1;
yaughan; 1;
nill; 1;
scope; 2;
mocke; 1;
chaplesse; 1;
becomes; 2;
assaies; 1;
sere; 1;
relatiue; 1;
priuates; 1;
bellow; 1;
sends; 3;
seate; 1;
seruices; 1;
sinners; 1;
read; 3;
indifferent; 3;
stuck; 1;
loosed; 1;
digge; 2;
declining; 1;
coach; 1;
worst; 1;
mellow; 1;
pester; 1;
offence; 9;
remaines; 3;
vile; 1;
worse; 3;
merit; 2;
stewd; 1;
turnst; 1;
away; 27;
looser; 1;
ouerhappy; 1;
cheefest; 1;
runnes; 1;
wrong; 6;
hugger; 1;
grunt; 1;
ophel; 2;
compound; 1;
honors; 1;
fight; 3;
obserud; 1;
wrote; 2;
obserue; 3;
passes; 1;
basenesse; 1;
fulfilld; 1;
vnbaited; 1;
enemie; 1;
shipwrights; 1;
indiuidible; 1;
snow; 4;
tormenting; 1;
happes; 1;
points; 2;
courtiers; 2;
happen; 1;
conceit; 5;
piece; 1;
scarse; 1;
weedes; 1;
ioyntresse; 1;
euents; 1;
rellish; 2;
aboue; 4;
grassegreene; 1;
courtier; 3;
fellow; 9;
showes; 1;
guarded; 1;
promisecrammd; 1;
common; 8;
bore; 4;
daughter; 16;
calumny; 1;
northwest; 1;
worlds; 2;
seduce; 1;
orestop; 1;
repentance; 1;
traueller; 1;
document; 1;
habit; 1;
figure; 4;
proceeded; 1;
sadnesse; 1;
coniectures; 1;
annexment; 1;
accepts; 1;
deske; 1;
direct; 4;
deerely; 1;
yeelding; 1;
waxe; 1;
draughts; 1;
foile; 1;
fault; 4;
reconcilement; 1;
combined; 1;
plots; 2;
sledded; 1;
strugling; 1;
terme; 2;
honord; 1;
mixture; 1;
quake; 1;
lucianus; 2;
runs; 1;
soone; 1;
actus; 2;
variable; 2;
actions; 1;
fear; 1;
calueskinnes; 1;
questionable; 1;
both; 34;
blesse; 3;
encounter; 3;
loose; 5;
hidious; 1;
after; 13;
dearly; 1;
seeke; 8;
eldest; 1;
stung; 1;
instance; 1;
tennis; 1;
kinne; 1;
businesse; 10;
forraigne; 1;
goosequils; 1;
schollers; 2;
marrie; 1;
trauaile; 1;
bloodie; 1;
associates; 1;
white; 4;
bout; 1;
falne; 2;
willing; 2;
worthy; 1;
that; 361;
deerest; 1;
certaine; 4;
thence; 4;
maimed; 1;
thaw; 1;
princes; 1;
neerer; 3;
cries; 5;
humble; 1;
tush; 2;
about; 19;
vnmatchd; 1;
nemian; 1;
remembred; 1;
ladie; 1;
valentine; 1;
sun; 3;
moneths; 2;
elder; 1;
obeyes; 1;
droppings; 1;
cleaue; 1;
twelue; 5;
clutch; 1;
feed; 3;
accent; 2;
celestiall; 2;
honour; 4;
ominous; 1;
ardure; 1;
windes; 2;
cease; 2;
promisd; 2;
promise; 1;
punish; 1;
carowses; 1;
noblest; 1;
sinewes; 1;
infinite; 3;
humbly; 4;
offendendo; 1;
flaming; 2;
redeliuer; 2;
beaten; 1;
grow; 7;
boxe; 1;
masters; 4;
winne; 1;
stye; 1;
girle; 1;
costly; 1;
sword; 16;
halfe; 5;
comrade; 1;
suffering; 1;
bring; 12;
baser; 2;
roome; 2;
considerd; 1;
ancient; 1;
whisper; 1;
false; 6;
choose; 4;
guild; 20;
deale; 1;
protestation; 1;
wine; 2;
cauiarie; 1;
rude; 2;
wing; 1;
crimefull; 1;
others; 4;
wishes; 1;
seene; 20;
ceremony; 1;
soldier; 2;
reynoldo; 4;
outstretcht; 1;
tax; 1;
flesh; 5;
cuckold; 1;
tragedians; 1;
seemd; 2;
seeme; 9;
monarchs; 1;
foyle; 1;
rend; 1;
sphere; 1;
sconce; 1;
deiected; 1;
healthfull; 1;
desart; 2;
claudius; 1;
mirth; 2;
dreames; 3;
spleenatiue; 1;
agreeing; 1;
length; 4;
knees; 2;
rent; 1;
inuentors; 1;
damnable; 1;
want; 2;
hence; 5;
obsequious; 1;
riuet; 1;
edge; 3;
liuing; 2;
riuer; 1;
conceald; 1;
wipe; 2;
astonish; 1;
gibbe; 1;
centinels; 1;
personall; 1;
bunghole; 1;
stopes; 1;
coapd; 1;
vneffectuall; 1;
gaged; 1;
incestuous; 4;
indite; 1;
trulie; 1;
dies; 1;
seekes; 2;
diet; 2;
wish; 3;
wise; 2;
poniards; 1;
especiall; 1;
glowworme; 1;
croaking; 1;
choyce; 3;
bold; 3;
seest; 1;
anon; 6;
died; 1;
voyce; 10;
prouinciall; 1;
enquire; 1;
grating; 1;
wantonnesse; 1;
shockes; 1;
scuffling; 1;
directly; 1;
bloude; 1;
dido; 1;
murder; 3;
accuse; 1;
froward; 1;
gambals; 1;
turnes; 2;
property; 3;
sense; 5;
heraldry; 1;
muddied; 1;
oathes; 1;
pierce; 1;
ambassador; 1;
window; 1;
vnpregnant; 1;
setled; 1;
certaintie; 1;
beating; 3;
horrors; 1;
reuennew; 1;
hatch; 1;
rebellion; 1;
rest; 14;
friend; 12;
siluerd; 1;
stop; 3;
parching; 1;
sables; 1;
springes; 1;
ducates; 1;
sunne; 3;
voice; 2;
incensd; 1;
wart; 1;
clapt; 1;
hauocke; 1;
pretty; 2;
cressant; 1;
faiery; 1;
ruld; 2;
bloudy; 1;
doubts; 1;
breeding; 2;
throughly; 1;
cunning; 4;
wary; 2;
rule; 1;
wash; 2;
poesie; 1;
arrowes; 2;
rauell; 1;
stocke; 1;
bulke; 2;
tooke; 4;
office; 1;
dealt; 1;
mistake; 1;
with; 254;
cannoneer; 1;
desire; 7;
circumstances; 1;
matter; 26;
fortified; 1;
buriall; 5;
distrust; 2;
wast; 4;
wits; 6;
incenst; 1;
moneth; 2;
roofe; 1;
fruites; 1;
scoene; 2;
propheticke; 1;
scoena; 1;
gramercy; 1;
iournies; 1;
gawdie; 1;
tend; 4;
parts; 1;
mazard; 1;
iuyce; 1;
party; 1;
spoke; 2;
twill; 4;
colour; 4;
iester; 1;
argall; 3;
coniuring; 1;
praises; 1;
orebeares; 1;
distraction; 2;
staffe; 1;
alarme; 1;
these; 44;
else; 13;
fortinbras; 13;
nickname; 1;
vnrighteous; 1;
bewept; 1;
musick; 1;
lazarlike; 1;
denyde; 1;
aspect; 1;
nephew; 1;
praier; 1;
offerd; 1;
bitter; 3;
each; 11;
bin; 7;
knauery; 1;
wherefore; 3;
knowledge; 1;
hamlet; 99;
romage; 1;
pastors; 1;
tels; 1;
side; 2;
tell; 43;
merriment; 1;
chamber; 4;
marriages; 1;
diuinity; 2;
define; 1;
calmely; 1;
chappell; 2;
houres; 2;
pickd; 1;
morning; 4;
burning; 2;
manners; 1;
larded; 2;
statutes; 1;
paconcies; 1;
drumme; 2;
buzzers; 1;
ham; 337;
pitteous; 1;
steward; 1;
hap; 1;
conueyance; 1;
drinking; 1;
rusty; 1;
has; 16;
hat; 4;
trippingly; 1;
closset; 2;
shadowes; 2;
had; 44;
encountred; 1;
crack; 1;
sift; 1;
streame; 1;
beleefe; 1;
offend; 1;
distinguish; 1;
sigh; 2;
throwne; 2;
backd; 1;
religious; 1;
backe; 6;
rankly; 1;
pyrate; 1;
sequell; 1;
talkd; 1;
talke; 2;
foresaid; 1;
delights; 3;
resemble; 1;
powres; 2;
fairely; 1;
invulnerable; 1;
exercise; 3;
pulse; 1;
enact; 2;
mutine; 1;
pat; 1;
barnardo; 8;
challice; 1;
name; 9;
altogether; 1;
packing; 1;
pay; 3;
messe; 1;
recklesse; 1;
recognizances; 1;
thers; 1;
flatterd; 1;
heauenly; 3;
stubbornnesse; 1;
chariest; 1;
forgd; 1;
tythe; 1;
transformation; 1;
scarce; 1;
neither; 6;
therefore; 14;
chaste; 1;
whatsoeuer; 1;
forgone; 1;
there; 76;
reignes; 1;
orehasty; 1;
patience; 5;
bow; 3;
shewne; 1;
loath; 1;
boy; 3;
quilles; 1;
knowing; 1;
deeds; 1;
lobby; 2;
suffers; 2;
hee; 18;
needfull; 2;
vigour; 1;
alarum; 1;
shortly; 4;
hey; 2;
deede; 2;
hew; 1;
among; 1;
desperate; 5;
gyues; 1;
hes; 6;
her; 95;
assault; 1;
loues; 6;
merrie; 2;
smile; 2;
spots; 1;
ban; 1;
receiues; 1;
hopes; 1;
flats; 1;
hitherto; 2;
bad; 7;
fates; 1;
sensible; 2;
immortall; 1;
yeomans; 1;
harlot; 1;
frenchman; 1;
cockle; 1;
perfume; 1;
bat; 1;
bar; 7;
gratis; 1;
bap; 3;
tragicallhistoricall; 1;
lands; 4;
controuersie; 1;
eternity; 1;
treble; 1;
kings; 9;
musty; 1;
interims; 1;
newtrall; 1;
orbed; 1;
vanquisher; 1;
subscribd; 1;
bloud; 4;
dayes; 6;
vnckle; 3;
scarft; 1;
